index,layer,uniprot,n_requested,preparation,docking,scoring,exclusion_reason,n_scored,n_converged,eint_rho,smina_rho
72,L4,O00767,10,excluded_chemistry,not_prepared,not_docked,"Unsupported nearby chemistry: B:401::ZN, C:402::ZN, D:403::ST9",0,0,,
73,L4,O75747,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
74,L4,O94782,10,preparation_failed,not_prepared,not_docked,ValueError('No cap geometry or explicit terminal OXT after C:164::LEU'),0,0,,
75,L4,P09871,10,prepared,ready,ready,,10,10,-0.058025885318565944,0.4061811972299616
76,L4,P24863,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
77,L4,P37059,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
78,L4,P42226,10,prepared,ready,ready,,10,10,-0.07878787878787878,0.38181818181818183
79,L4,P43341,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
80,L4,P50052,10,prepared,ready,ready,,10,10,0.04242424242424241,0.23636363636363633
81,L4,Q08211,10,excluded_chemistry,not_prepared,not_docked,"Unsupported nearby chemistry: C:1202::ADP, D:1203::MG",0,0,,
82,L4,Q08828,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
83,L4,Q13094,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
84,L4,Q13724,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
85,L4,Q15726,0,empty_original_cohort,not_prepared,not_docked,Original benchmark pose input was empty,0,0,,
86,L4,Q6SZW1,10,prepared,ready,ready,,10,10,-0.14155521462623263,-0.6339211785435636
87,L4,Q70CQ3,10,preparation_failed,not_prepared,not_docked,ValueError('Unresolved chain break before A:161::ASP; no safe cap geometry'),0,0,,
88,L4,Q8TDU9,0,empty_original_cohort,not_prepared,not_docked,Original benchmark pose input was empty,0,0,,
89,L4,Q96PC2,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
90,L4,Q99705,10,prepared,ready,ready,,10,9,0.5592731001856595,0.03647433262080388
91,L4,Q9GZQ6,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
92,L4,Q9HB14,10,excluded_chemistry,not_prepared,not_docked,Unsupported nearby chemistry: M:511::K,0,0,,
93,L4,Q9NY59,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
94,L4,Q9Y239,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
95,L4,Q9Y4K0,10,source_not_recovered,not_prepared,not_docked,Exact residue-labelled source structure was not recovered,0,0,,
