layer,uniprot,n_scored,aimnet_spearman,aimnet_kendall,aimnet_pearson,interaction_spearman,smina_spearman,paff_range,optimization_converged
L1,Q8N1Q1,10,-0.13939393939393938,-0.06666666666666667,0.023297588968619855,-0.13939393939393938,-0.2606060606060606,1.6214999999999993,8.0
L1,Q92793,10,0.35258521533443743,0.26967994498529685,0.47423300481157704,0.5835893219328621,-0.0790277206784084,2.397900000000001,8.0
L1,Q96MU7,10,0.251552678847338,0.13801311186847084,0.16181538071306506,-0.1533857797849622,0.2024692293161501,0.7446999999999999,10.0
L1,Q9UBN7,10,0.16363636363636364,0.06666666666666667,0.10137039208581339,-0.04242424242424241,0.34545454545454546,2.4413,10.0
L2,O14757,10,-0.024316221747202584,-0.044946657497549475,-0.15932600515155015,-0.21884599572482327,-0.42553388057604524,3.2352999999999996,9.0
L2,O43318,10,-0.06666666666666665,-0.06666666666666667,-0.18305051853388113,-0.06666666666666665,-0.406060606060606,1.3468,10.0
L2,O75460,10,-0.04242424242424241,-0.022222222222222223,-0.32134865080688607,-0.12727272727272726,-0.2121212121212121,3.7324,10.0
L2,O95819,10,0.4787878787878787,0.37777777777777777,0.2805623729404703,0.3696969696969697,0.7818181818181817,3.2878,10.0
L2,P05177,10,-0.30639964574555395,-0.167093470609201,-0.23051766235355559,-0.06253053994807224,0.5440156975482285,1.9162999999999997,10.0
L2,P06730,10,-0.2121212121212121,-0.15555555555555553,-0.376835293882506,-0.3696969696969697,-0.33333333333333326,1.3952,10.0
L2,P08254,10,-0.2842676218074806,-0.24343224778007386,-0.1070069516062754,-0.2842676218074806,0.3553345272593507,0.25959999999999983,10.0
L2,P18825,10,0.11550205329921229,0.044946657497549475,0.21737648105117255,0.36474332620803873,-0.12158110873601292,3.033900000000001,10.0
L2,P31153,10,-0.2006088294144213,-0.13483997249264842,-0.29622100022852577,-0.05471149893120582,0.09726488698881033,3.1079000000000008,10.0
L2,P31645,10,0.067700320038633,0.023281009858985943,0.12260116178347959,0.1538643637241659,0.24618298195866545,2.8080999999999996,8.0
L2,P36897,10,0.0303030303030303,0.06666666666666667,0.07957016766256317,0.04242424242424241,0.12727272727272726,2.6532,10.0
L2,P41143,6,0.8451542547285166,0.7745966692414834,0.8012246138367922,0.8451542547285166,0.5408987230262506,1.3979,4.0
L2,P43166,10,0.01818181818181818,0.06666666666666667,-0.056799638640291826,-0.11515151515151514,0.5878787878787878,1.080099999999999,7.0
L2,P43405,10,-0.06686960980480709,0.0,-0.14390816544832635,0.20668788485122197,-0.05471149893120582,1.442499999999999,10.0
L2,P56817,10,-0.006079055436800646,0.0,-0.016394311773352363,0.35258521533443743,-0.05471149893120582,3.0824999999999996,10.0
L2,Q06187,10,0.8643457510060755,0.7542472332656507,0.9269047844817323,0.8087806670128277,-0.5186074506036452,3.0,10.0
L2,Q13224,10,0.1515151515151515,0.022222222222222223,-0.1433851051140907,-0.12727272727272726,0.05454545454545454,1.5,10.0
L2,Q13822,10,-0.22424242424242422,-0.06666666666666667,-0.04421085647592087,-0.10303030303030303,-0.11515151515151514,2.0934999999999997,10.0
L2,Q14145,10,0.3283123529846759,0.24913643956121992,0.34239482194503584,0.05360201681382464,0.1943073109501143,0.9394999999999998,10.0
L2,Q15119,10,-0.13939393939393938,-0.1111111111111111,-0.3038570532430287,-0.10303030303030303,0.43030303030303024,0.8751000000000007,10.0
L2,Q6P179,10,0.18845071854082002,0.044946657497549475,0.5432135593546628,0.09118583155200968,0.0,2.3273,10.0
L2,Q8NER1,10,0.01818181818181818,-0.022222222222222223,-0.22634675011485256,0.0303030303030303,0.05454545454545454,1.7942,7.0
L2,Q92793,10,-0.4296689244236597,-0.33734954246999327,-0.43243966301846143,-0.14322297480788657,0.33201689614555524,2.000000000000001,9.0
L2,Q9Y5Z0,10,0.35757575757575755,0.28888888888888886,0.48397101100625634,0.34545454545454546,0.16363636363636364,1.8384999999999998,10.0
L3,A0A1D8PKB4,10,0.42553388057604524,0.40451991747794525,0.0945076341260387,0.33434804902403553,0.38298049251844074,1.1034999999999995,10.0
L3,O14638,10,-0.1315903389919538,-0.08032193289024989,-0.033780874315251716,-0.14474937289114917,-0.2434421271351145,1.2595999999999998,8.0
L3,P05556,10,-0.5896683773696627,-0.40451991747794525,-0.44324809800271414,-0.6079055436800646,-0.16413449679361747,1.6397000000000004,10.0
L3,P05622,10,0.28484848484848485,0.19999999999999998,0.2292114912903603,0.16363636363636364,-0.41818181818181815,2.1738999999999997,8.0
L3,P11926,10,-0.18787878787878787,-0.06666666666666667,-0.15745267641272107,-0.06666666666666665,0.19999999999999998,1.415,10.0
L3,P18564,0,,,,,,,
L3,P28347,10,0.23636363636363633,0.15555555555555553,-0.057499433337648606,0.35757575757575755,0.1515151515151515,1.3207000000000004,10.0
L3,P40879,10,-0.4545454545454545,-0.4222222222222222,-0.43684548076079216,-0.4666666666666666,0.04242424242424241,1.5563000000000002,8.0
L3,P43250,10,-0.07294866524160776,0.0,0.04653280493155105,0.06079055436800646,0.09726488698881033,1.0,8.0
L3,P51684,10,0.4545454545454545,0.4222222222222222,0.5732005107007153,0.33333333333333326,0.406060606060606,2.2075999999999993,10.0
L3,P56528,10,0.19945535786847088,0.14509525002200235,0.3599964528338041,-0.087261719067456,-0.14959151840135315,3.0,10.0
L3,Q00959,10,0.07878787878787878,0.06666666666666667,0.11866291666212762,0.406060606060606,0.5393939393939393,1.7447,10.0
L3,Q00961,10,-0.49240349038085235,-0.3595732599803958,-0.575373065454181,-0.395138603392042,0.56535215562246,1.5751999999999997,10.0
L3,Q15878,10,0.5636363636363636,0.4666666666666666,0.570496800759446,0.5151515151515151,-0.3696969696969697,1.4799999999999995,8.0
L3,Q16665,10,-0.024316221747202584,-0.044946657497549475,0.05923100632879887,-0.06079055436800646,0.33434804902403553,0.5902000000000003,10.0
L3,Q62645,10,-0.01818181818181818,0.022222222222222223,-0.14593456884854358,0.13939393939393938,0.5030303030303029,1.7958999999999996,10.0
L3,Q92830,10,0.37690143708164003,0.22473328748774737,0.4465767961207246,0.20668788485122197,0.10334394242561099,3.7423,9.0
L3,Q96LB1,10,-0.35757575757575755,-0.24444444444444444,-0.3878646774997922,-0.38181818181818183,0.18787878787878787,3.7110000000000003,10.0
L3,Q9HCR9,10,-0.5636363636363636,-0.37777777777777777,-0.5940277891381623,-0.33333333333333326,-0.406060606060606,1.0035999999999996,10.0
L3,Q9NPC1,10,0.2121212121212121,0.15555555555555553,0.2509365159329329,0.06666666666666665,0.5636363636363636,1.5047000000000006,9.0
L3,Q9NR22,10,-0.19512557866211333,-0.06819943394704735,0.05559278497699269,-0.2500046476608327,-0.7134278969833519,2.7696000000000005,10.0
L3,Q9UKS7,10,-0.2335496832484569,-0.1807753815155468,-0.3002229888618992,0.31139957766460924,0.15569978883230462,1.2595999999999998,10.0
L3,Q9Y4K4,10,-0.4787878787878787,-0.28888888888888886,-0.15524129193389774,-0.4787878787878787,0.5515151515151515,2.5085999999999995,10.0
L3,Q9Y6M4,10,-0.24848484848484845,-0.19999999999999998,-0.17854136117843541,-0.2727272727272727,0.13939393939393938,1.6989999999999998,10.0
L4,O00767,10,-0.024316221747202584,0.0,0.08951044242319262,0.12766016417281356,-0.05471149893120582,1.6334999999999997,9.0
L4,O75747,10,0.5222329678670935,0.4472135954999579,0.6621011828832016,0.4061811972299616,-0.058025885318565944,1.0,10.0
L4,O94782,10,0.06666666666666665,0.06666666666666667,0.3462123112004475,0.13939393939393938,0.5030303030303029,2.3804000000000007,9.0
L4,P09871,10,0.4061811972299616,0.34783279649996723,0.2083922287415327,0.5222329678670935,0.4061811972299616,1.0,9.0
L4,P24863,10,0.16363636363636364,0.1111111111111111,-0.04629041126739196,-0.19999999999999998,0.09090909090909088,2.1023999999999994,10.0
L4,P37059,10,-0.2010075630518424,-0.13840913308956662,-0.2753662374744465,-0.2010075630518424,0.5025189076296059,0.8750999999999998,10.0
L4,P42226,10,-0.22424242424242422,-0.15555555555555553,-0.2915678008552773,-0.07878787878787878,0.13939393939393938,1.7558999999999996,10.0
L4,P43341,10,0.32121212121212117,0.24444444444444444,0.12095546554413704,0.12727272727272726,-0.5515151515151515,1.6402,9.0
L4,P50052,10,-0.09090909090909088,-0.06666666666666667,-0.1292102364771349,-0.12727272727272726,0.01818181818181818,2.6857999999999995,9.0
L4,Q08211,10,0.07878787878787878,0.06666666666666667,0.16473347602687644,0.1515151515151515,-0.34545454545454546,1.3302999999999994,10.0
L4,Q08828,10,-0.2857156055296304,-0.22473328748774737,-0.22953937808946645,-0.22492505116162387,-0.006079055436800646,0.7780999999999993,10.0
L4,Q13094,10,-0.07878787878787878,-0.06666666666666667,-0.2731191808768516,-0.2727272727272727,-0.06666666666666665,1.2109000000000005,9.0
L4,Q13724,10,-0.5272727272727272,-0.3333333333333333,-0.529948302176504,-0.6242424242424242,0.5030303030303029,2.0968999999999998,10.0
L4,Q15726,0,,,,,,,
L4,Q6SZW1,10,-0.12309149097933272,-0.06984302957695782,0.17534363538795628,-0.2584921310565987,-0.473902240270431,4.0,10.0
L4,Q70CQ3,10,0.13767902008851546,0.10540925533894598,0.5405632471440138,0.45237392314797936,-0.4917107860304124,2.4192,10.0
L4,Q8TDU9,0,,,,,,,
L4,Q96PC2,10,-0.7006490497453708,-0.6146362971528592,-0.6558570669734601,-0.6227991553292185,-0.5103493078392206,1.7404000000000002,10.0
L4,Q99705,10,-0.47416632407045034,-0.31462660248284624,-0.3420286835494334,-0.32826899358723494,0.012158110873601292,2.4044999999999987,4.0
L4,Q9GZQ6,10,-0.13939393939393938,-0.15555555555555553,-0.30094984720761403,0.09090909090909088,-0.4787878787878787,2.5504,7.0
L4,Q9HB14,10,-0.5583242384172624,-0.4140393356054125,-0.8975621569456671,-0.46015733935488656,0.6442202750968412,0.4178999999999995,10.0
L4,Q9NY59,10,0.43030303030303024,0.28888888888888886,0.4203403614914296,0.406060606060606,-0.09090909090909088,0.8939000000000004,10.0
L4,Q9Y239,10,-0.2606060606060606,-0.28888888888888886,-0.24283662623170624,-0.2606060606060606,0.09090909090909088,2.824,9.0
L4,Q9Y4K0,10,,,,,,0.0,10.0
