molecule_id,MACE_OFF23_interaction,MACE_OFF24_interaction,MACE_OMol_interaction,MACE_Polar_L_interaction,UMA_S_interaction,esen_sm_conserving_interaction,gxtb_interaction,pm6_ml_interaction,AIMNet2_2025_interaction,int_b973c,int_wb97m,int_wb97m_dzvpd,int_wb97m_dzvpd_estimated
2i,-52.65078639,-53.47038384,-64.37300419,-61.50250453,-69.01349605,-62.04157071,-51.78435893,-64.77182700000048,-53.1338037,-56.79884748,-64.9329,,-68.06731726978168
2j,-51.99422573,-52.7369577,-64.18173432,-60.89203457,-68.53890974,-61.75976258,-50.00709263,-63.375841999999466,-53.3150742,-55.73610537,-64.197096,,-67.35453980975969
2k,-49.22397054,-50.92130118,-61.13032895,-57.96473849,-64.93114872,-58.85437079,-47.45565695,-59.5812449999994,-50.78743568,-53.44400138,-60.960728,,-64.21945198374016
2l,-53.93320884,-55.59644797,-67.21107491,-63.50538567,-70.93597503,-64.66587324,-51.45411393,-64.86967799999911,-56.197385,-57.5786241,-66.560994,,-69.64446105535099
2m,-52.10798087,-55.2749049,-66.99300487,-62.71257265,-71.1403926,-64.83715782,-51.91449785,-64.41581900000074,-56.80137277,-58.32613436,-66.499401,,-69.58479557093514
2n,-58.8078103,-62.71844526,-72.63998104,-68.84793136,-77.83999669,-71.08383964,-56.84500526,-70.20630600000004,-61.12846965,-63.56612531,-72.227206,,-75.13335238688244
2o,-51.01903054,-53.32820832,-65.80500601,-60.62380074,-69.61296239,-63.01476709,-48.99009013,-59.29617099999996,-56.96306747,-57.64053373,-65.192307,,-68.31860628502476
2p,-56.91186503,-59.89023219,-73.0390298,-68.16430972,-78.21278109,-71.04119675,-56.99154724,-67.87418999999954,-63.82574326,-65.12732183,-72.837067,,-75.7241281567158
2q,-55.00482733,-57.90499745,-70.5956134,-65.31785794,-74.94770265,-67.66436491,-53.49490855,-64.06180800000038,-63.16136901,-61.09239026,-69.507785,,-72.49903401798191
2r,-57.56881989,-60.82468627,-72.97644698,-67.54900947,-76.65392401,-70.02017832,-54.85769315,-68.95451499999945,-62.79275557,-62.58063853,-71.22808,,-74.16549342916824
2s,-67.01218661,-67.93026934,-83.35044391,-78.35446689,-86.88754786,-80.64895815,-63.72539392,-79.89993099999992,-73.22313735,-72.61215899,-82.266858,,-84.85881956573
2t,-53.90469911,-55.65955533,-70.17227647,-66.54895342,-73.75202933,-67.62114645,-55.64666546,-68.11669299999994,-56.94120661,-60.12273476,-69.230482,,-72.23040904720644
2u,-59.70328381,-65.49764233,-81.6409088,-75.12414816,-86.16923706,-77.95732511,-62.93929561,-75.22134500000084,-67.61448948,-70.22646575,-79.612393,,-82.28742443819972
2v,-42.3847443,-45.85004707,-55.86087222,-52.29640414,-58.73130893,-53.09094366,-44.46381721,-55.25271800000064,-47.23801244,-48.68356234,-55.697743,,-59.121168907766304
2x,-49.35712365,-52.2487504,-61.04339623,-57.59115617,-64.54352852,-58.55003645,-46.62434668,-58.67642700000033,-51.4212826,-53.00713115,-60.543995,,-63.81576039026236
2y,-49.26114068,-51.27114488,-59.82882281,-56.05245033,-63.47506672,-57.13980752,-44.60823194,-57.41651799999909,-49.25836885,-50.86681054,-59.056413,,-62.3747313668615
2z,-47.22863926,-50.85020797,-62.77945635,-58.91362893,-66.75477686,-60.48758902,-49.72517831,-61.975484000000506,-51.25026862,-52.85369694,-62.24985,,-65.46823169249204
3fln,-50.92949423,-53.81492524,-63.67588748,-60.36155291,-68.18996489,-61.98184401,-49.74071541,-62.06017100000008,-53.28512022,-55.64322356,-63.64736,,-66.82200746451197
3flq,-52.62282394,-56.24328646,-64.08292042,-60.03282729,-67.86469192,-61.18887239,-48.71372299,-57.8582379999998,-55.95466071,-56.36981835,-63.822265,,-66.99143891860184
3flw,-51.91402882,-55.14134447,-65.59316919,-61.7494555,-70.26771435,-64.13064065,-50.79414476,-62.71567200000027,-54.12866051,-56.82773889,-65.09854,,-68.22777366642812
3fly,-46.65434053,-49.8861413,-60.56750059,-56.95739414,-64.05704098,-57.93108161,-47.76643037,-58.89632799999981,-50.47443993,-52.28492786,-60.181551,,-63.46465885545116
3flz,-52.16128352,-54.06483875,-62.94421302,-60.05955475,-67.35418407,-60.87229458,-50.05792707,-63.443771999999626,-54.01829322,-56.78522347,-63.415325,,-66.59723385912766
3fmh,-50.52046408,-53.81027201,-66.07555568,-61.89423493,-69.59059905,-63.61519557,-50.93552235,-62.63511600000038,-55.854418,-57.01325138,-65.023415,,-68.15499965774626
3fmk,-51.27870959,-53.42931398,-65.08632798,-61.15884144,-68.87048074,-62.44243367,-48.72392627,-61.868915000000015,-54.19650475,-55.75979152,-64.371876,,-67.52385017564875
