Validated 81 systems and matched fragment atoms; testing both geometry conventions
Downloading https://storage.googleapis.com/aimnetcentral/aimnet2v2/AIMNet2/aimnet2_2025_b973c_d3_1.pt -> /home/xianyang/.cache/aimnet/aimnet2_2025_b973c_d3_1.pt
aimnet2_2025_member1 cdk2 30 -67.9584
aimnet2_2025_member1 cdk2 30 -67.9018
aimnet2_2025_member1 cdk2 31 -60.1384
aimnet2_2025_member1 cdk2 31 -60.1407
aimnet2_2025_member1 cdk2 32 -85.4943
aimnet2_2025_member1 cdk2 32 -85.5008
aimnet2_2025_member1 p38 2aa -62.3587
aimnet2_2025_member1 p38 2aa -62.2976
aimnet2_2025_member1 p38 2bb -53.1697
aimnet2_2025_member1 p38 2bb -53.187
aimnet2_2025_member1 p38 2c -59.2478
aimnet2_2025_member1 p38 2c -59.2532
aimnet2_2025_member1 p38 2e -53.1259
aimnet2_2025_member1 p38 2e -53.0891
aimnet2_2025_member1 p38 2ee -56.4015
aimnet2_2025_member1 p38 2ee -56.3851
aimnet2_2025_member1 p38 2f -51.1749
aimnet2_2025_member1 p38 2f -51.1255
aimnet2_2025_member1 p38 2ff -63.8219
aimnet2_2025_member1 p38 2ff -63.7871
aimnet2_2025_member1 p38 2g -53.4592
aimnet2_2025_member1 p38 2g -53.4025
aimnet2_2025_member1 p38 2gg -57.6831
aimnet2_2025_member1 p38 2gg -57.6216
aimnet2_2025_member1 p38 2h -55.0684
aimnet2_2025_member1 p38 2h -55.0774
aimnet2_2025_member1 p38 2i -53.6405
aimnet2_2025_member1 p38 2i -53.5774
aimnet2_2025_member1 p38 2j -53.942
aimnet2_2025_member1 p38 2j -53.9464
aimnet2_2025_member1 p38 2k -50.1604
aimnet2_2025_member1 p38 2k -50.1813
aimnet2_2025_member1 p38 2l -56.1129
aimnet2_2025_member1 p38 2l -56.1159
aimnet2_2025_member1 p38 2m -56.2402
aimnet2_2025_member1 p38 2m -56.2821
aimnet2_2025_member1 p38 2n -60.258
aimnet2_2025_member1 p38 2n -60.3295
aimnet2_2025_member1 p38 2o -56.2727
aimnet2_2025_member1 p38 2o -56.2925
aimnet2_2025_member1 p38 2p -63.0055
aimnet2_2025_member1 p38 2p -62.9197
aimnet2_2025_member1 p38 2q -61.0833
aimnet2_2025_member1 p38 2q -61.082
aimnet2_2025_member1 p38 2r -62.7857
aimnet2_2025_member1 p38 2r -62.6848
aimnet2_2025_member1 p38 2s -73.0781
aimnet2_2025_member1 p38 2s -73.1011
aimnet2_2025_member1 p38 2t -55.314
aimnet2_2025_member1 p38 2t -55.2668
aimnet2_2025_member1 p38 2u -66.9952
aimnet2_2025_member1 p38 2u -67.0515
aimnet2_2025_member1 p38 2v -46.6751
aimnet2_2025_member1 p38 2v -46.5936
aimnet2_2025_member1 p38 2x -50.6402
aimnet2_2025_member1 p38 2x -50.7195
aimnet2_2025_member1 p38 2y -49.7948
aimnet2_2025_member1 p38 2y -49.8051
aimnet2_2025_member1 p38 2z -50.8564
aimnet2_2025_member1 p38 2z -50.8728
aimnet2_2025_member1 p38 3fln -52.8731
aimnet2_2025_member1 p38 3fln -52.8942
aimnet2_2025_member1 p38 3flq -56.042
aimnet2_2025_member1 p38 3flq -56.0274
aimnet2_2025_member1 p38 3flw -54.1865
aimnet2_2025_member1 p38 3flw -54.266
aimnet2_2025_member1 p38 3fly -50.0895
aimnet2_2025_member1 p38 3fly -50.0726
aimnet2_2025_member1 p38 3flz -53.3277
aimnet2_2025_member1 p38 3flz -53.3439
aimnet2_2025_member1 p38 3fmh -56.1362
aimnet2_2025_member1 p38 3fmh -56.1112
aimnet2_2025_member1 p38 3fmk -54.643
aimnet2_2025_member1 p38 3fmk -54.7035
aimnet2_2025_member1 tyk2 ejm_31 -51.7435
aimnet2_2025_member1 tyk2 ejm_31 -51.7511
aimnet2_2025_member1 tyk2 ejm_42 -56.015
aimnet2_2025_member1 tyk2 ejm_42 -56.0184
aimnet2_2025_member1 tyk2 ejm_43 -51.1504
aimnet2_2025_member1 tyk2 ejm_43 -51.1707
aimnet2_2025_member1 tyk2 ejm_44 -49.7094
aimnet2_2025_member1 tyk2 ejm_44 -49.6655
aimnet2_2025_member1 tyk2 ejm_45 -55.0666
aimnet2_2025_member1 tyk2 ejm_45 -55.0607
aimnet2_2025_member1 tyk2 ejm_46 -56.1165
aimnet2_2025_member1 tyk2 ejm_46 -56.0799
aimnet2_2025_member1 tyk2 ejm_47 -58.9601
aimnet2_2025_member1 tyk2 ejm_47 -58.8713
aimnet2_2025_member1 tyk2 ejm_48 -54.6845
aimnet2_2025_member1 tyk2 ejm_48 -54.6959
aimnet2_2025_member1 tyk2 ejm_49 -63.2516
aimnet2_2025_member1 tyk2 ejm_49 -63.2371
aimnet2_2025_member1 tyk2 ejm_50 -65.9531
aimnet2_2025_member1 tyk2 ejm_50 -65.9705
aimnet2_2025_member1 tyk2 ejm_54 -62.2485
aimnet2_2025_member1 tyk2 ejm_54 -62.253
aimnet2_2025_member1 tyk2 ejm_55 -51.1953
aimnet2_2025_member1 tyk2 ejm_55 -51.2089
aimnet2_2025_member1 tyk2 jmc_23 -66.1907
aimnet2_2025_member1 tyk2 jmc_23 -66.2148
aimnet2_2025_member1 tyk2 jmc_27 -70.0786
aimnet2_2025_member1 tyk2 jmc_27 -70.0794
aimnet2_2025_member1 tyk2 jmc_28 -56.8128
aimnet2_2025_member1 tyk2 jmc_28 -56.7862
aimnet2_2025_member1 tyk2 jmc_30 -76.5955
aimnet2_2025_member1 tyk2 jmc_30 -76.6139
aimnet2_2025_member1 PLA15 10GS -223.7699
aimnet2_2025_member1 PLA15 10GS -223.7699
aimnet2_2025_member1 PLA15 2CET -234.0961
aimnet2_2025_member1 PLA15 2CET -234.0959
aimnet2_2025_member1 PLA15 2FVD -72.3622
aimnet2_2025_member1 PLA15 2FVD -72.3623
aimnet2_2025_member1 PLA15 2OBF -186.4175
aimnet2_2025_member1 PLA15 2OBF -186.4177
aimnet2_2025_member1 PLA15 2P4Y -146.1699
aimnet2_2025_member1 PLA15 2P4Y -146.1711
aimnet2_2025_member1 PLA15 2VOT -229.7239
aimnet2_2025_member1 PLA15 2VOT -229.7239
aimnet2_2025_member1 PLA15 2VW5 -85.3106
aimnet2_2025_member1 PLA15 2VW5 -85.3104
aimnet2_2025_member1 PLA15 2XB8 -175.8985
aimnet2_2025_member1 PLA15 2XB8 -175.8988
aimnet2_2025_member1 PLA15 2YKI -83.3241
aimnet2_2025_member1 PLA15 2YKI -83.3256
aimnet2_2025_member1 PLA15 2ZX6 -221.5635
aimnet2_2025_member1 PLA15 2ZX6 -221.564
aimnet2_2025_member1 PLA15 3G0W -55.4163
aimnet2_2025_member1 PLA15 3G0W -55.4199
aimnet2_2025_member1 PLA15 3GNW -71.9172
aimnet2_2025_member1 PLA15 3GNW -71.9178
aimnet2_2025_member1 PLA15 3NOX -226.251
aimnet2_2025_member1 PLA15 3NOX -226.2507
aimnet2_2025_member1 PLA15 3PE2 -126.5765
aimnet2_2025_member1 PLA15 3PE2 -126.5754
aimnet2_2025_member1 PLA15 4GID -179.8739
aimnet2_2025_member1 PLA15 4GID -179.8774
Downloading https://storage.googleapis.com/aimnetcentral/aimnet2v2/AIMNet2/aimnet2_2025_b973c_d3_2.pt -> /home/xianyang/.cache/aimnet/aimnet2_2025_b973c_d3_2.pt
aimnet2_2025_member2 {'model': 'aimnet2-b973c-2025-d3_2', 'metadata': mappingproxy({'format_version': 2, 'cutoff': 5.0, 'needs_coulomb': True, 'needs_dispersion': True, 'coulomb_mode': 'sr_embedded', 'coulomb_sr_rc': 4.599999904632568, 'coulomb_sr_envelope': 'exp', 'd3_params': {'s8': 1.5, 'a1': 0.37, 'a2': 4.1, 's6': 1.0}, 'has_embedded_lr': True, 'implemented_species': [1, 5, 6, 7, 8, 9, 14, 15, 16, 17, 33, 34, 35, 53], 'family': 'b973c-2025-d3', 'supports_charged_systems': None, 'has_embedded_d3ts': False}), 'coulomb_method': 'simple', 'coulomb_cutoff': inf}
aimnet2_2025_member2 cdk2 17 -59.9573
aimnet2_2025_member2 cdk2 17 -59.9827
aimnet2_2025_member2 cdk2 1h1q -58.8418
aimnet2_2025_member2 cdk2 1h1q -58.8952
aimnet2_2025_member2 cdk2 1h1r -59.526
aimnet2_2025_member2 cdk2 1h1r -59.5565
aimnet2_2025_member2 cdk2 1h1s -95.9073
aimnet2_2025_member2 cdk2 1h1s -95.8722
aimnet2_2025_member2 cdk2 1oi9 -65.6084
aimnet2_2025_member2 cdk2 1oi9 -65.6576
aimnet2_2025_member2 cdk2 1oiu -75.629
aimnet2_2025_member2 cdk2 1oiu -75.6709
aimnet2_2025_member2 cdk2 1oiy -75.3698
aimnet2_2025_member2 cdk2 1oiy -75.3586
aimnet2_2025_member2 cdk2 20 -78.403
aimnet2_2025_member2 cdk2 20 -78.4
aimnet2_2025_member2 cdk2 21 -72.2231
aimnet2_2025_member2 cdk2 21 -72.3225
aimnet2_2025_member2 cdk2 22 -72.4903
aimnet2_2025_member2 cdk2 22 -72.4955
aimnet2_2025_member2 cdk2 26 -66.4863
aimnet2_2025_member2 cdk2 26 -66.3923
aimnet2_2025_member2 cdk2 28 -95.7845
aimnet2_2025_member2 cdk2 28 -95.8022
aimnet2_2025_member2 cdk2 29 -87.6033
aimnet2_2025_member2 cdk2 29 -87.5633
aimnet2_2025_member2 cdk2 30 -74.1018
aimnet2_2025_member2 cdk2 30 -74.0523
aimnet2_2025_member2 cdk2 31 -68.8076
aimnet2_2025_member2 cdk2 31 -68.812
aimnet2_2025_member2 cdk2 32 -96.3697
aimnet2_2025_member2 cdk2 32 -96.3635
aimnet2_2025_member2 p38 2aa -58.1916
aimnet2_2025_member2 p38 2aa -58.1254
aimnet2_2025_member2 p38 2bb -52.0246
aimnet2_2025_member2 p38 2bb -52.041
aimnet2_2025_member2 p38 2c -54.4921
aimnet2_2025_member2 p38 2c -54.4924
aimnet2_2025_member2 p38 2e -51.9882
aimnet2_2025_member2 p38 2e -51.944
aimnet2_2025_member2 p38 2ee -54.512
aimnet2_2025_member2 p38 2ee -54.4962
aimnet2_2025_member2 p38 2f -49.271
aimnet2_2025_member2 p38 2f -49.2171
aimnet2_2025_member2 p38 2ff -59.6698
aimnet2_2025_member2 p38 2ff -59.6323
aimnet2_2025_member2 p38 2g -52.7564
aimnet2_2025_member2 p38 2g -52.7056
aimnet2_2025_member2 p38 2gg -55.5795
aimnet2_2025_member2 p38 2gg -55.5125
aimnet2_2025_member2 p38 2h -51.2918
aimnet2_2025_member2 p38 2h -51.3025
aimnet2_2025_member2 p38 2i -50.2826
aimnet2_2025_member2 p38 2i -50.2177
aimnet2_2025_member2 p38 2j -50.4795
aimnet2_2025_member2 p38 2j -50.4861
aimnet2_2025_member2 p38 2k -48.4903
aimnet2_2025_member2 p38 2k -48.5075
aimnet2_2025_member2 p38 2l -54.8269
aimnet2_2025_member2 p38 2l -54.8308
aimnet2_2025_member2 p38 2m -55.8542
aimnet2_2025_member2 p38 2m -55.8926
aimnet2_2025_member2 p38 2n -59.5828
aimnet2_2025_member2 p38 2n -59.6514
aimnet2_2025_member2 p38 2o -56.1412
aimnet2_2025_member2 p38 2o -56.1553
aimnet2_2025_member2 p38 2p -62.5941
aimnet2_2025_member2 p38 2p -62.5052
aimnet2_2025_member2 p38 2q -63.0631
aimnet2_2025_member2 p38 2q -63.0536
aimnet2_2025_member2 p38 2r -61.2468
aimnet2_2025_member2 p38 2r -61.1459
aimnet2_2025_member2 p38 2s -72.4503
aimnet2_2025_member2 p38 2s -72.4766
aimnet2_2025_member2 p38 2t -56.3878
aimnet2_2025_member2 p38 2t -56.3315
aimnet2_2025_member2 p38 2u -66.2966
aimnet2_2025_member2 p38 2u -66.3518
aimnet2_2025_member2 p38 2v -44.0402
aimnet2_2025_member2 p38 2v -43.9649
aimnet2_2025_member2 p38 2x -50.5009
aimnet2_2025_member2 p38 2x -50.572
aimnet2_2025_member2 p38 2y -46.1352
aimnet2_2025_member2 p38 2y -46.1532
aimnet2_2025_member2 p38 2z -48.8591
aimnet2_2025_member2 p38 2z -48.8746
aimnet2_2025_member2 p38 3fln -51.7583
aimnet2_2025_member2 p38 3fln -51.7681
aimnet2_2025_member2 p38 3flq -54.0803
aimnet2_2025_member2 p38 3flq -54.0705
aimnet2_2025_member2 p38 3flw -52.5073
aimnet2_2025_member2 p38 3flw -52.5909
aimnet2_2025_member2 p38 3fly -48.2238
aimnet2_2025_member2 p38 3fly -48.2175
aimnet2_2025_member2 p38 3flz -52.4642
aimnet2_2025_member2 p38 3flz -52.4832
aimnet2_2025_member2 p38 3fmh -54.4073
aimnet2_2025_member2 p38 3fmh -54.3862
aimnet2_2025_member2 p38 3fmk -52.1555
aimnet2_2025_member2 p38 3fmk -52.2163
aimnet2_2025_member2 tyk2 ejm_31 -59.7011
aimnet2_2025_member2 tyk2 ejm_31 -59.7119
aimnet2_2025_member2 tyk2 ejm_42 -62.1588
aimnet2_2025_member2 tyk2 ejm_42 -62.1655
aimnet2_2025_member2 tyk2 ejm_43 -56.1876
aimnet2_2025_member2 tyk2 ejm_43 -56.2091
aimnet2_2025_member2 tyk2 ejm_44 -54.8266
aimnet2_2025_member2 tyk2 ejm_44 -54.7866
aimnet2_2025_member2 tyk2 ejm_45 -61.3686
aimnet2_2025_member2 tyk2 ejm_45 -61.3641
aimnet2_2025_member2 tyk2 ejm_46 -62.2533
aimnet2_2025_member2 tyk2 ejm_46 -62.2152
aimnet2_2025_member2 tyk2 ejm_47 -64.5287
aimnet2_2025_member2 tyk2 ejm_47 -64.442
aimnet2_2025_member2 tyk2 ejm_48 -59.086
aimnet2_2025_member2 tyk2 ejm_48 -59.0975
aimnet2_2025_member2 tyk2 ejm_49 -69.3634
aimnet2_2025_member2 tyk2 ejm_49 -69.358
aimnet2_2025_member2 tyk2 ejm_50 -73.0539
aimnet2_2025_member2 tyk2 ejm_50 -73.0789
aimnet2_2025_member2 tyk2 ejm_54 -67.0181
aimnet2_2025_member2 tyk2 ejm_54 -67.0145
aimnet2_2025_member2 tyk2 ejm_55 -58.8117
aimnet2_2025_member2 tyk2 ejm_55 -58.8291
aimnet2_2025_member2 tyk2 jmc_23 -74.0842
aimnet2_2025_member2 tyk2 jmc_23 -74.1151
aimnet2_2025_member2 tyk2 jmc_27 -75.5002
aimnet2_2025_member2 tyk2 jmc_27 -75.5002
aimnet2_2025_member2 tyk2 jmc_28 -62.5137
aimnet2_2025_member2 tyk2 jmc_28 -62.4816
aimnet2_2025_member2 tyk2 jmc_30 -83.9406
aimnet2_2025_member2 tyk2 jmc_30 -83.9603
aimnet2_2025_member2 PLA15 10GS -226.6046
aimnet2_2025_member2 PLA15 10GS -226.6047
aimnet2_2025_member2 PLA15 2CET -239.0027
aimnet2_2025_member2 PLA15 2CET -239.0021
aimnet2_2025_member2 PLA15 2FVD -79.7316
aimnet2_2025_member2 PLA15 2FVD -79.7316
aimnet2_2025_member2 PLA15 2OBF -191.1931
aimnet2_2025_member2 PLA15 2OBF -191.1944
aimnet2_2025_member2 PLA15 2P4Y -147.2166
aimnet2_2025_member2 PLA15 2P4Y -147.2154
aimnet2_2025_member2 PLA15 2VOT -243.2771
aimnet2_2025_member2 PLA15 2VOT -243.2773
aimnet2_2025_member2 PLA15 2VW5 -92.7068
aimnet2_2025_member2 PLA15 2VW5 -92.7074
aimnet2_2025_member2 PLA15 2XB8 -175.262
aimnet2_2025_member2 PLA15 2XB8 -175.2654
aimnet2_2025_member2 PLA15 2YKI -86.7152
aimnet2_2025_member2 PLA15 2YKI -86.7147
aimnet2_2025_member2 PLA15 2ZX6 -224.027
aimnet2_2025_member2 PLA15 2ZX6 -224.027
aimnet2_2025_member2 PLA15 3G0W -59.6155
aimnet2_2025_member2 PLA15 3G0W -59.6207
aimnet2_2025_member2 PLA15 3GNW -73.418
aimnet2_2025_member2 PLA15 3GNW -73.4195
aimnet2_2025_member2 PLA15 3NOX -226.6764
aimnet2_2025_member2 PLA15 3NOX -226.6766
aimnet2_2025_member2 PLA15 3PE2 -123.5835
aimnet2_2025_member2 PLA15 3PE2 -123.5854
aimnet2_2025_member2 PLA15 4GID -175.3252
aimnet2_2025_member2 PLA15 4GID -175.324
Downloading https://storage.googleapis.com/aimnetcentral/aimnet2v2/AIMNet2/aimnet2_2025_b973c_d3_3.pt -> /home/xianyang/.cache/aimnet/aimnet2_2025_b973c_d3_3.pt
aimnet2_2025_member3 {'model': 'aimnet2-b973c-2025-d3_3', 'metadata': mappingproxy({'format_version': 2, 'cutoff': 5.0, 'needs_coulomb': True, 'needs_dispersion': True, 'coulomb_mode': 'sr_embedded', 'coulomb_sr_rc': 4.599999904632568, 'coulomb_sr_envelope': 'exp', 'd3_params': {'s8': 1.5, 'a1': 0.37, 'a2': 4.1, 's6': 1.0}, 'has_embedded_lr': True, 'implemented_species': [1, 5, 6, 7, 8, 9, 14, 15, 16, 17, 33, 34, 35, 53], 'family': 'b973c-2025-d3', 'supports_charged_systems': None, 'has_embedded_d3ts': False}), 'coulomb_method': 'simple', 'coulomb_cutoff': inf}
aimnet2_2025_member3 cdk2 17 -57.9022
aimnet2_2025_member3 cdk2 17 -57.933
aimnet2_2025_member3 cdk2 1h1q -56.6806
aimnet2_2025_member3 cdk2 1h1q -56.7302
aimnet2_2025_member3 cdk2 1h1r -57.3236
aimnet2_2025_member3 cdk2 1h1r -57.3582
aimnet2_2025_member3 cdk2 1h1s -92.7727
aimnet2_2025_member3 cdk2 1h1s -92.7396
aimnet2_2025_member3 cdk2 1oi9 -63.8093
aimnet2_2025_member3 cdk2 1oi9 -63.8519
aimnet2_2025_member3 cdk2 1oiu -72.7508
aimnet2_2025_member3 cdk2 1oiu -72.7942
aimnet2_2025_member3 cdk2 1oiy -73.3402
aimnet2_2025_member3 cdk2 1oiy -73.3278
aimnet2_2025_member3 cdk2 20 -74.1952
aimnet2_2025_member3 cdk2 20 -74.2
aimnet2_2025_member3 cdk2 21 -69.4453
aimnet2_2025_member3 cdk2 21 -69.5497
aimnet2_2025_member3 cdk2 22 -67.2833
aimnet2_2025_member3 cdk2 22 -67.2959
aimnet2_2025_member3 cdk2 26 -63.8964
aimnet2_2025_member3 cdk2 26 -63.8043
aimnet2_2025_member3 cdk2 28 -91.4184
aimnet2_2025_member3 cdk2 28 -91.4263
aimnet2_2025_member3 cdk2 29 -84.3768
aimnet2_2025_member3 cdk2 29 -84.3339
aimnet2_2025_member3 cdk2 30 -70.5904
aimnet2_2025_member3 cdk2 30 -70.5313
aimnet2_2025_member3 cdk2 31 -65.5226
aimnet2_2025_member3 cdk2 31 -65.5397
aimnet2_2025_member3 cdk2 32 -90.982
aimnet2_2025_member3 cdk2 32 -90.9822
aimnet2_2025_member3 p38 2aa -62.471
aimnet2_2025_member3 p38 2aa -62.409
aimnet2_2025_member3 p38 2bb -54.4168
aimnet2_2025_member3 p38 2bb -54.4354
aimnet2_2025_member3 p38 2c -61.6669
aimnet2_2025_member3 p38 2c -61.6618
aimnet2_2025_member3 p38 2e -55.1639
aimnet2_2025_member3 p38 2e -55.1279
aimnet2_2025_member3 p38 2ee -57.9565
aimnet2_2025_member3 p38 2ee -57.9417
aimnet2_2025_member3 p38 2f -51.6334
aimnet2_2025_member3 p38 2f -51.5712
aimnet2_2025_member3 p38 2ff -62.2499
aimnet2_2025_member3 p38 2ff -62.2108
aimnet2_2025_member3 p38 2g -54.9963
aimnet2_2025_member3 p38 2g -54.9423
aimnet2_2025_member3 p38 2gg -60.2668
aimnet2_2025_member3 p38 2gg -60.2004
aimnet2_2025_member3 p38 2h -55.7619
aimnet2_2025_member3 p38 2h -55.7793
aimnet2_2025_member3 p38 2i -54.601
aimnet2_2025_member3 p38 2i -54.5386
aimnet2_2025_member3 p38 2j -54.7959
aimnet2_2025_member3 p38 2j -54.8017
aimnet2_2025_member3 p38 2k -52.0452
aimnet2_2025_member3 p38 2k -52.0579
aimnet2_2025_member3 p38 2l -56.6761
aimnet2_2025_member3 p38 2l -56.6807
aimnet2_2025_member3 p38 2m -56.7403
aimnet2_2025_member3 p38 2m -56.7772
aimnet2_2025_member3 p38 2n -62.1298
aimnet2_2025_member3 p38 2n -62.2022
aimnet2_2025_member3 p38 2o -57.4902
aimnet2_2025_member3 p38 2o -57.5049
aimnet2_2025_member3 p38 2p -64.3325
aimnet2_2025_member3 p38 2p -64.2503
aimnet2_2025_member3 p38 2q -64.3026
aimnet2_2025_member3 p38 2q -64.2956
aimnet2_2025_member3 p38 2r -63.0216
aimnet2_2025_member3 p38 2r -62.9174
aimnet2_2025_member3 p38 2s -73.5941
aimnet2_2025_member3 p38 2s -73.6109
aimnet2_2025_member3 p38 2t -57.1921
aimnet2_2025_member3 p38 2t -57.1375
aimnet2_2025_member3 p38 2u -67.3861
aimnet2_2025_member3 p38 2u -67.4443
aimnet2_2025_member3 p38 2v -49.1831
aimnet2_2025_member3 p38 2v -49.1035
aimnet2_2025_member3 p38 2x -52.3317
aimnet2_2025_member3 p38 2x -52.4145
aimnet2_2025_member3 p38 2y -49.5404
aimnet2_2025_member3 p38 2y -49.5522
aimnet2_2025_member3 p38 2z -52.4973
aimnet2_2025_member3 p38 2z -52.511
aimnet2_2025_member3 p38 3fln -54.0063
aimnet2_2025_member3 p38 3fln -54.0172
aimnet2_2025_member3 p38 3flq -56.325
aimnet2_2025_member3 p38 3flq -56.316
aimnet2_2025_member3 p38 3flw -53.6583
aimnet2_2025_member3 p38 3flw -53.7389
aimnet2_2025_member3 p38 3fly -51.2692
aimnet2_2025_member3 p38 3fly -51.2579
aimnet2_2025_member3 p38 3flz -55.7021
aimnet2_2025_member3 p38 3flz -55.7136
aimnet2_2025_member3 p38 3fmh -56.6763
aimnet2_2025_member3 p38 3fmh -56.6531
aimnet2_2025_member3 p38 3fmk -54.7943
aimnet2_2025_member3 p38 3fmk -54.8467
aimnet2_2025_member3 tyk2 ejm_31 -58.9793
aimnet2_2025_member3 tyk2 ejm_31 -58.9873
aimnet2_2025_member3 tyk2 ejm_42 -62.2996
aimnet2_2025_member3 tyk2 ejm_42 -62.3053
aimnet2_2025_member3 tyk2 ejm_43 -57.4298
aimnet2_2025_member3 tyk2 ejm_43 -57.4536
aimnet2_2025_member3 tyk2 ejm_44 -56.1309
aimnet2_2025_member3 tyk2 ejm_44 -56.0939
aimnet2_2025_member3 tyk2 ejm_45 -61.9649
aimnet2_2025_member3 tyk2 ejm_45 -61.9601
aimnet2_2025_member3 tyk2 ejm_46 -61.7357
aimnet2_2025_member3 tyk2 ejm_46 -61.6934
aimnet2_2025_member3 tyk2 ejm_47 -65.8839
aimnet2_2025_member3 tyk2 ejm_47 -65.7994
aimnet2_2025_member3 tyk2 ejm_48 -59.4036
aimnet2_2025_member3 tyk2 ejm_48 -59.4111
aimnet2_2025_member3 tyk2 ejm_49 -68.9602
aimnet2_2025_member3 tyk2 ejm_49 -68.9527
aimnet2_2025_member3 tyk2 ejm_50 -72.6959
aimnet2_2025_member3 tyk2 ejm_50 -72.7177
aimnet2_2025_member3 tyk2 ejm_54 -67.0834
aimnet2_2025_member3 tyk2 ejm_54 -67.0832
aimnet2_2025_member3 tyk2 ejm_55 -57.448
aimnet2_2025_member3 tyk2 ejm_55 -57.4646
aimnet2_2025_member3 tyk2 jmc_23 -73.3685
aimnet2_2025_member3 tyk2 jmc_23 -73.3952
aimnet2_2025_member3 tyk2 jmc_27 -76.8702
aimnet2_2025_member3 tyk2 jmc_27 -76.8758
aimnet2_2025_member3 tyk2 jmc_28 -64.1167
aimnet2_2025_member3 tyk2 jmc_28 -64.0843
aimnet2_2025_member3 tyk2 jmc_30 -83.4913
aimnet2_2025_member3 tyk2 jmc_30 -83.5139
aimnet2_2025_member3 PLA15 10GS -221.7701
aimnet2_2025_member3 PLA15 10GS -221.7697
aimnet2_2025_member3 PLA15 2CET -239.8365
aimnet2_2025_member3 PLA15 2CET -239.8361
aimnet2_2025_member3 PLA15 2FVD -78.0953
aimnet2_2025_member3 PLA15 2FVD -78.0954
aimnet2_2025_member3 PLA15 2OBF -188.1518
aimnet2_2025_member3 PLA15 2OBF -188.1536
aimnet2_2025_member3 PLA15 2P4Y -145.3619
aimnet2_2025_member3 PLA15 2P4Y -145.3623
aimnet2_2025_member3 PLA15 2VOT -231.9931
aimnet2_2025_member3 PLA15 2VOT -231.9929
aimnet2_2025_member3 PLA15 2VW5 -91.1843
aimnet2_2025_member3 PLA15 2VW5 -91.1844
aimnet2_2025_member3 PLA15 2XB8 -172.2015
aimnet2_2025_member3 PLA15 2XB8 -172.2018
aimnet2_2025_member3 PLA15 2YKI -86.7395
aimnet2_2025_member3 PLA15 2YKI -86.7392
aimnet2_2025_member3 PLA15 2ZX6 -224.7279
aimnet2_2025_member3 PLA15 2ZX6 -224.7277
aimnet2_2025_member3 PLA15 3G0W -52.7767
aimnet2_2025_member3 PLA15 3G0W -52.7774
aimnet2_2025_member3 PLA15 3GNW -71.4595
aimnet2_2025_member3 PLA15 3GNW -71.4585
aimnet2_2025_member3 PLA15 3NOX -225.0322
aimnet2_2025_member3 PLA15 3NOX -225.0324
aimnet2_2025_member3 PLA15 3PE2 -122.6661
aimnet2_2025_member3 PLA15 3PE2 -122.6658
aimnet2_2025_member3 PLA15 4GID -172.8194
aimnet2_2025_member3 PLA15 4GID -172.817
                    model dataset                    geometry                   reference  n       mae      rmse      bias  max_abs_error  pearson  spearman
