layer,uniprot,available_actives,selected_actives,pocket_atoms,center,size,padding
L3,A0A1D8PKB4,12,10,193,"[23.223000000000003, -17.446, -12.4305]","[27.612000000000002, 30.046, 29.743]",4.0
L3,O14638,91,10,225,"[-4.8315, -27.491999999999997, -16.7855]","[34.492999999999995, 26.767999999999997, 33.753]",4.0
L3,P05556,27,10,145,"[3.1075000000000017, 118.35249999999999, 39.14]","[30.155, 23.23299999999999, 29.876]",4.0
L3,P05622,378,10,289,"[-2.7615, 0.8890000000000011, 1.4169999999999998]","[36.507000000000005, 37.074, 30.328]",4.0
L3,P11926,14,10,180,"[-55.078, -0.6280000000000001, -43.3345]","[32.858000000000004, 29.552, 23.894999999999996]",4.0
L3,P18564,36,10,136,"[3.9654999999999987, -44.979, -15.99]","[26.997, 25.092, 29.682]",4.0
L3,P28347,238,10,241,"[-11.0385, 6.1095, 66.069]","[29.047, 38.629, 28.184000000000005]",4.0
L3,P40879,20,10,207,"[124.4985, 95.404, 121.518]","[26.25500000000001, 33.355999999999995, 30.379999999999995]",4.0
L3,P43250,22,10,201,"[-30.1595, 26.125999999999998, 25.771]","[29.541, 29.976, 31.638000000000005]",4.0
L3,P51684,11,10,294,"[13.824000000000002, 2.378499999999999, -2.068500000000001]","[36.07, 40.153, 30.069000000000003]",4.0
L3,P56528,103,10,175,"[4.1195, 8.2105, -3.7765000000000004]","[30.383, 34.013, 32.937]",4.0
L3,Q00959,15,10,176,"[16.601499999999998, 25.0155, 37.674]","[33.415, 28.419000000000004, 29.310000000000002]",4.0
L3,Q00961,21,10,141,"[128.877, 173.721, 171.711]","[29.506, 23.792, 27.143999999999977]",4.0
L3,Q15878,151,10,197,"[145.3945, 174.8225, 159.333]","[26.631, 33.703, 29.182000000000016]",4.0
L3,Q16665,28,10,208,"[5.8885000000000005, 19.807499999999997, 17.243]","[27.923000000000002, 33.827, 31.436]",4.0
L3,Q62645,15,10,150,"[7.163500000000001, 36.0825, 11.8065]","[23.761, 29.163, 27.561]",4.0
L3,Q92830,159,10,144,"[-19.197000000000003, -6.975000000000001, 12.58]","[27.220000000000002, 24.518, 25.388]",4.0
L3,Q96LB1,69,10,164,"[100.357, 67.258, 86.3365]","[32.172, 32.45799999999999, 30.539]",4.0
L3,Q9HCR9,40,10,199,"[4.4945, 11.344999999999999, 29.1465]","[33.391000000000005, 30.740000000000002, 28.115000000000002]",4.0
L3,Q9NPC1,17,10,226,"[15.6845, -2.7025000000000006, 2.3095000000000017]","[35.528999999999996, 25.951, 32.019000000000005]",4.0
L3,Q9NR22,11,10,244,"[-2.127, 0.766, 9.0475]","[32.53, 31.618, 33.319]",4.0
L3,Q9UKS7,39,10,77,"[22.3675, -10.481, -14.9425]","[25.795, 24.568, 23.129]",4.0
L3,Q9Y4K4,10,10,239,"[-5.9, 12.9465, -8.963]","[28.598000000000003, 26.744999999999997, 33.66]",4.0
L3,Q9Y6M4,34,10,200,"[37.1425, -12.447, 27.147]","[30.528999999999996, 35.078, 24.790000000000003]",4.0
L4,O00767,37,10,463,"[17.215, 71.6435, 43.961]","[39.478, 38.905, 39.596000000000004]",4.0
L4,O75747,229,10,199,"[-11.2635, 0.948500000000001, 5.5295000000000005]","[27.009, 30.967000000000002, 31.297]",4.0
L4,O94782,406,10,221,"[131.14149, 139.73862499999998, 172.67163]","[29.357899999999987, 39.510149999999996, 26.157479999999993]",4.0
L4,P09871,421,10,200,"[9.854000000000001, -2.6765, -4.320999999999999]","[39.019999999999996, 25.455, 26.22]",4.0
L4,P24863,18,10,105,"[9.371000000000002, 7.0184999999999995, -0.14250000000000007]","[20.268, 32.421, 27.667]",4.0
L4,P37059,47,10,259,"[7.296500000000001, 7.1915, 8.722999999999999]","[27.741, 33.783, 27.810000000000002]",4.0
L4,P42226,43,10,173,"[-3.878000000000001, -45.0975, -22.852999999999998]","[24.340000000000003, 29.645000000000003, 36.54]",4.0
L4,P43341,153,10,255,"[10.672, -3.973, -2.019000000000001]","[27.567999999999998, 39.14, 33.406]",4.0
L4,P50052,214,10,317,"[64.0565, 12.0625, 5.692]","[33.923, 34.113, 30.698]",4.0
L4,Q08211,707,10,201,"[21.0345, 12.759, -63.798500000000004]","[26.433000000000007, 33.292, 29.965000000000003]",4.0
L4,Q08828,68,10,257,"[-21.968, -26.4295, -23.131999999999998]","[30.863999999999997, 35.225, 29.31]",4.0
L4,Q13094,30,10,136,"[19.917, 1.5354999999999999, -10.939]","[25.233999999999998, 28.430999999999997, 30.656]",4.0
L4,Q13724,529,10,254,"[-1.5359999999999996, -9.3385, -2.671499999999999]","[34.16, 31.307000000000002, 27.317]",4.0
L4,Q15726,27,10,386,"[3.407, 1.8449999999999989, -0.8300000000000001]","[39.024, 35.592, 32.578]",4.0
L4,Q6SZW1,243,10,132,"[-8.052589999999999, -29.044615, 4.1642199999999985]","[23.28642, 26.162509999999997, 27.138279999999998]",4.0
L4,Q70CQ3,231,10,208,"[-5.1005, -16.614, 7.031]","[33.519, 29.805999999999997, 31.454]",4.0
L4,Q8TDU9,10,10,189,"[133.0725, 145.17149999999998, 102.45150000000001]","[32.230999999999995, 31.215000000000003, 30.587000000000003]",4.0
L4,Q96PC2,44,10,267,"[-2.083500000000001, 0.7735000000000003, -0.8714999999999993]","[38.169, 28.997, 31.203]",4.0
L4,Q99705,33,10,228,"[133.6175, 146.3245, 105.7945]","[26.647000000000006, 34.05500000000001, 28.980999999999995]",4.0
L4,Q9GZQ6,25,10,422,"[2.3354999999999997, 6.6884999999999994, 15.8765]","[33.747, 35.010999999999996, 38.547]",4.0
L4,Q9HB14,15,10,142,"[97.096, 107.1455, 125.64600000000002]","[23.323999999999998, 31.448999999999998, 29.940000000000012]",4.0
L4,Q9NY59,20,10,116,"[5.8629999999999995, -15.938500000000001, -7.0015]","[25.326, 22.351, 31.689]",4.0
L4,Q9Y239,58,10,274,"[16.04, 13.745, 16.5695]","[34.108000000000004, 33.306, 28.165]",4.0
L4,Q9Y4K0,47,10,124,"[-24.5805, -17.9015, 5.976]","[25.749, 23.069, 27.46]",4.0
