target,ligand_pdb,old_pose,new_pose,pose_changed,old_interaction,new_interaction
2qbp,3qqs,38,38,False,-312.8251630048837,-282.64246966478225
2qbp,2qbq,47,47,False,-297.3635276334082,-245.53227049592132
2qbp,2qbr,40,47,True,-239.36229325317652,-237.50206384323303
2qbp,4ciw,41,41,False,-227.07841840211773,-227.80820105440884
2qbp,2qbp,28,28,False,-228.6191320401348,-226.92462727745703
2qbp,2zcq,5,5,False,-216.4173064857129,-217.2250973584692
2qbp,3n86,33,54,True,-199.686799595396,-199.33287691673252
2qbp,1vso,39,39,False,-214.3871735022601,-174.71670367240728
2qbp,4ea2,67,67,False,-221.6693838110769,-168.5128886656569
2qbp,3n7a,39,39,False,-161.8508811703571,-161.72854480306793
2qbp,2zy1,75,71,True,-187.33782319717665,-156.65670123071288
2qbp,4dld,93,27,True,-139.03232165426198,-148.85225536751878
2qbp,3twp,90,90,False,-154.3508915911948,-148.23758361381658
2qbp,3gbb,22,77,True,-149.19854615563798,-146.68777825463246
2qbp,1bzc,98,57,True,-143.63166857821193,-133.54873844330675
2qbp,2zcr,78,77,True,-169.51044174374735,-130.28041419482662
2qbp,2xb8,76,39,True,-147.30771132857558,-128.24189974605846
2qbp,3acw,95,66,True,-96.8485978769975,-83.61496526915386
2qbp,3n76,95,95,False,-105.3839316739629,-80.28804676989249
2r9w,2hb1,41,41,False,-317.2351816572194,-305.2468091610424
2r9w,3qqs,59,59,False,-286.7276572878748,-304.3309462911214
2r9w,3gv9,53,7,True,-234.43896576156044,-245.6412729972193
2r9w,3ivg,40,40,False,-192.3547881872923,-228.71521066386197
2r9w,1bzc,9,37,True,-199.0680573526968,-209.9399253454562
2r9w,2qbr,23,23,False,-242.2563296753986,-198.9424742184378
2r9w,2qbp,3,34,True,-208.50803451924128,-198.42105333302555
2r9w,4jxs,31,84,True,-185.6463908134728,-189.2730609624556
2r9w,4de2,5,5,False,-147.40869733565788,-177.89854615588996
2r9w,4kz6,6,6,False,-131.6800169097974,-169.0876478951076
2r9w,1nc1,33,33,False,-175.70123528725762,-167.20014945127818
2r9w,2qbq,92,92,False,-160.42716567060052,-148.15781394292944
2r9w,1y6r,60,18,True,-169.25484571244354,-127.31540052618816
2r9w,2r9w,94,94,False,-136.5855894397871,-120.7527502808372
2r9w,4de3,54,54,False,-115.32249586580105,-117.96498283363876
2r9w,3g2z,56,56,False,-117.33022148810404,-110.45874366503716
2r9w,3g31,25,35,True,-116.80418159734086,-110.233727881878
2r9w,3twp,12,13,True,-118.21300079628784,-109.87504558072334
2r9w,3gr2,10,100,True,-116.16513450847296,-91.59059707956564
2r9w,4de1,97,97,False,-92.53497051381152,-78.66882389261303
2vvn,3ge7,43,43,False,-181.7015526022477,-162.35422405189826
2vvn,1r5y,100,88,True,-148.10328928348173,-158.33287509204231
2vvn,4pcs,96,96,False,-195.7969636136837,-157.15881629224066
2vvn,4jfs,100,100,False,-177.77257075107445,-152.61036908017311
2vvn,4j28,92,92,False,-167.07935356615312,-149.97622851659264
2vvn,1s38,10,10,False,-105.50558679608064,-109.91231284951716
2vvn,2xii,94,94,False,-129.74117309528643,-103.7781043123576
2vvn,3d4z,89,89,False,-109.52338948341688,-102.58483081997252
2vvn,3rr4,92,97,True,-88.66683025273036,-84.25123272825384
2vvn,2wvt,100,100,False,-88.78795086091212,-82.3269302487094
2vvn,3dx2,5,5,False,-92.87558995736282,-76.95293855630489
2vvn,3dx1,98,80,True,-94.54708668363186,-72.30275242789965
2vvn,3gc5,3,3,False,-83.56499920968669,-68.07754217529502
2vvn,2wca,3,3,False,-91.77117032630645,-57.046668331822296
2vvn,2w66,90,90,False,-77.66674005435877,-52.27452657762313
2vvn,2xj7,88,88,False,-93.59828731496704,-29.42046845781188
2vvn,1ps3,98,98,False,-39.4443418388588,-25.038111899107463
2vvn,2w4x,3,3,False,-63.02223230664085,-14.572094941821623
2vvn,2vvn,2,34,True,-7.986234627008726,1.1347829039516968
2vvn,3ejr,97,13,True,-0.6842557328376043,27.244063036319144
3ag9,3ag9,99,39,True,-397.4931845927199,-273.4247055188408
3ag9,3uri,75,75,False,-216.25658785723448,-235.70424128483327
3ag9,1q8u,96,100,True,-213.48750554995215,-170.9914003686977
3ag9,1ydt,10,10,False,-197.0539782794428,-160.0960249364008
3ag9,1q8t,27,27,False,-163.66788315927266,-149.1501872101341
3ag9,2qnq,74,74,False,-174.39115448829313,-140.62488233579373
3ag9,1ydr,6,6,False,-169.96941253305468,-133.45812114201496
3ag9,3o9i,39,39,False,-145.44416559943653,-120.1223654725159
3ag9,2v00,95,73,True,-98.71698955667412,-117.18844023643922
3ag9,4kzq,42,1,True,-103.79746510101664,-106.73507605563807
3ag9,3pww,33,7,True,-131.16801055239097,-106.04774261908814
3ag9,3kr8,23,2,True,-102.56533816135855,-98.5026468848816
3ag9,3oe5,99,9,True,-117.33301799948256,-87.1845913233957
3ag9,3nw9,82,83,True,-94.30946182782574,-80.30529801226456
3ag9,3ozt,31,94,True,-93.23265587018022,-79.43967541653066
3ag9,3wz8,1,33,True,-107.33565629514354,-77.20625946175366
3ag9,3oe4,91,78,True,-102.0676201710546,-73.38508605349226
3ag9,3prs,12,81,True,-91.97577118441689,-67.6981583641493
3ag9,1g2k,87,40,True,-62.417009032675125,-58.75863704494797
3ag9,3ozs,84,19,True,-115.00871664689971,-55.01759445538199
3arp,3arp,40,40,False,-501.2505816190833,-489.5063722378127
3arp,3ary,83,83,False,-361.81751723328256,-358.3268413328249
3arp,3uew,59,59,False,-336.75561192816025,-326.24796641084265
3arp,3arv,95,95,False,-327.9027074457176,-296.607897171948
3arp,3wtj,38,38,False,-309.4897104840744,-289.3533449405993
3arp,3g0w,38,88,True,-285.8789618714487,-288.231535239401
3arp,3b65,43,62,True,-316.3610875731899,-284.1857876608341
3arp,3ueu,5,5,False,-255.48283160982015,-277.10573731879606
3arp,4qac,56,56,False,-320.25424780910737,-262.89057572125336
3arp,3uex,51,51,False,-293.8335958604496,-257.0247352082636
3arp,3u8n,54,43,True,-316.27978363146667,-251.63138724236356
3arp,3uev,38,93,True,-197.69724406314415,-225.3410809691206
3arp,3zdg,91,3,True,-256.52684884254734,-216.20279882412564
3arp,3nq9,34,34,False,-220.06573076205368,-206.905212083868
3arp,3u8k,7,4,True,-235.97505171214272,-204.01137699720624
3arp,3aru,85,85,False,-209.7038206132676,-193.0089751939488
3arp,3arq,15,82,True,-196.64308009700912,-187.73145875511685
3arp,3b68,28,28,False,-165.73101475437173,-174.1341594648804
3arp,1z95,36,99,True,-157.69227098864954,-155.55171149248218
3arp,3b5r,3,3,False,-178.6333361382283,-154.03841635469166
3coy,4ddh,80,80,False,-128.51578782422715,-158.71408467531
3coy,3ivg,44,44,False,-152.32383272767964,-149.27344996044212
3coy,4mme,83,83,False,-143.93389950797018,-141.72769655450443
3coy,1nc3,95,95,False,-125.26640850300124,-127.75346900573176
3coy,3zso,95,95,False,-146.48874495449542,-127.56689226685036
3coy,1y6r,99,99,False,-134.8971531843321,-100.90409872259376
3coy,4ddk,9,51,True,-112.21634041294888,-92.47591410257547
3coy,3zt2,86,86,False,-99.62011821500128,-90.40549993521348
3coy,1nc1,73,47,True,-84.25498172788008,-84.8606078010723
3coy,3coy,97,97,False,-122.19824054620013,-84.67264896066924
3coy,3coz,4,4,False,-103.98624792444048,-80.42115555420796
3coy,4f3c,41,98,True,-108.08096302971065,-63.546259252125054
3coy,4f2w,70,70,False,-109.47562611867988,-59.45740612234601
3coy,2v00,90,14,True,-52.86956373667685,-53.73213836736706
3coy,3zsx,3,11,True,17.070801117767793,5.207164869238607
3coy,4cig,50,4,True,-7.517354345177077,19.171680059688534
3coy,3wz8,81,12,True,10.782703169387572,42.36898947265955
3coy,3pww,6,6,False,173.2719962635703,127.0705123944865
3coy,3uri,27,27,False,112.23817154058077,143.72704521751112
3coy,3prs,98,98,False,153.14867693997158,196.72019500345567
3e93,5aba,76,76,False,-320.4261850051128,-274.7951863228126
3e93,4dli,35,35,False,-295.3330180130055,-253.7602771320965
3e93,4agn,76,76,False,-281.50135836115084,-234.23586457900623
3e93,5a7b,9,9,False,-274.75121661142697,-224.72193451224237
3e93,2zb1,31,31,False,-238.06410232193147,-219.4160974953689
3e93,3mss,31,31,False,-281.1090090275598,-207.4444414050145
3e93,3e92,3,96,True,-232.9673284722124,-198.0232843262361
3e93,3u9q,27,42,True,-239.61027962398524,-187.56151775680013
3e93,2v7a,75,19,True,-168.71599534719698,-181.99223028062943
3e93,3k5v,93,93,False,-205.1019140387838,-172.481272333559
3e93,3pyy,68,12,True,-197.19021609075156,-166.63726840633072
3e93,4agq,90,92,True,-171.05421333797048,-165.55752650147468
3e93,4twp,88,88,False,-151.99452691279288,-155.49290388294486
3e93,4agp,6,6,False,-213.87325755378075,-151.40517754501232
3e93,3fur,64,64,False,-160.352996090354,-138.53545344876386
3e93,2yfe,19,2,True,-155.95641261078765,-130.14928368827773
3e93,4f9w,67,67,False,-138.65171755584186,-113.18882922213054
3e93,3e93,91,97,True,-146.10100917374658,-103.16867187162714
3e93,2p4y,95,71,True,-123.24155945302334,-99.92383705823946
3e93,3b1m,93,93,False,-6.108202815768954,-24.52689065413088
3ebp,2j7h,70,15,True,-266.35108096433027,-221.6125175777023
3ebp,4wiv,52,35,True,-167.86687338549262,-163.59042633733233
3ebp,3pxf,86,86,False,-92.09532368043618,-117.52509202715534
3ebp,2xnb,37,79,True,-124.97388022102798,-113.5086301832585
3ebp,2fvd,2,4,True,-131.23149175109205,-108.77507315288
3ebp,2cbv,65,65,False,-143.75643501461852,-106.2430858918118
3ebp,4ogj,99,99,False,-167.48129527770683,-100.96369562398144
3ebp,4eky,80,80,False,-127.96697420639646,-94.89921282820583
3ebp,2j78,88,88,False,-117.13274784262924,-94.88263889743536
3ebp,2cet,32,32,False,-98.10163249083958,-88.0865680538724
3ebp,3g2n,95,95,False,-75.70364524089133,-83.38053706733027
3ebp,3ebp,25,81,True,-113.45474470241558,-83.21216714417864
3ebp,1pxn,28,28,False,-117.60099004620696,-81.06561610813422
3ebp,4eor,59,59,False,-96.78659512469832,-78.92457552272528
3ebp,3u5j,54,54,False,-81.13043964228372,-65.22592875762741
3ebp,2wbg,97,97,False,-61.23222923661266,-54.12919224256575
3ebp,3l7b,33,33,False,-59.0130288569861,-46.08304465633385
3ebp,3p5o,87,87,False,-38.86391641105271,-45.98753334100042
3ebp,4lzs,66,97,True,-60.79324875847848,-40.404973305941226
3ebp,3syr,92,94,True,-63.420749030792976,-37.3674487888516
3f3e,3f3d,38,38,False,-158.33413996080927,-150.29812496357712
3f3e,1p1q,7,7,False,-129.0290996697574,-129.77256150148347
3f3e,3f3e,73,73,False,-128.815935645692,-119.99273341260516
3f3e,3dx1,81,81,False,-58.65353460775151,-45.12182966758685
3f3e,2al5,96,96,False,-45.69376842538448,-43.06413215037478
3f3e,3dx2,97,97,False,-49.22924770041676,-34.91434986158022
3f3e,3f3c,95,16,True,-43.02256954193144,-31.589981775811456
3f3e,3uri,75,75,False,-28.03786404360789,-14.332169804315624
3f3e,1syi,94,94,False,-29.69121058794659,-13.444277589028932
3f3e,3f3a,2,2,False,4.538843724470431,22.955845027965765
3f3e,3prs,80,80,False,51.89440983262566,42.10824075274318
3f3e,1ps3,99,91,True,44.616250285602014,52.046463610135866
3f3e,3ejr,92,92,False,61.14961447749684,73.96327479180006
3f3e,3d4z,96,95,True,65.81449454060008,87.25507899144235
3f3e,2v00,5,5,False,119.92021033248216,127.76579957379208
3f3e,3wz8,86,86,False,179.66932633305288,167.07195054104037
3f3e,4mme,26,26,False,227.3507915420179,239.6433784277549
3f3e,2qnq,66,66,False,296.49587359247363,317.7575441909636
3f3e,3pww,94,94,False,365.4921406076968,350.678776002454
3f3e,1g2k,66,80,True,802.0937264803474,813.9693715141897
3ge7,3ge7,1,89,True,-239.66859449130848,-169.61857797913777
3ge7,3rlr,6,87,True,-148.60434771294754,-164.49142079315712
3ge7,3gc5,96,96,False,-113.84246850690722,-90.1372428883003
3ge7,1r5y,63,63,False,-121.9488793104218,-83.15881981436087
3ge7,3b27,41,41,False,-90.46767852955566,-78.91450758168845
3ge7,2yki,69,69,False,-153.41539445951582,-74.45100031652967
3ge7,1yc1,97,30,True,-115.31200282791212,-73.93608796576896
3ge7,2vvn,21,21,False,-107.0568058268983,-69.00370428821155
3ge7,1nvq,4,5,True,-67.32439655107977,-67.740346329277
3ge7,3rr4,74,74,False,-91.39527496913296,-67.27081311151834
3ge7,2xdl,52,11,True,-102.8712761238003,-60.74074815889385
3ge7,1s38,88,84,True,-78.5423550446509,-60.16920285438737
3ge7,2xj7,94,58,True,-78.3845874357822,-59.28182132317501
3ge7,2w4x,17,17,False,-117.9426995326876,-56.54728130479783
3ge7,2w66,60,60,False,-52.91318088049103,-50.36317442845025
3ge7,1nc1,96,92,True,-72.37703436218368,-43.75192372198797
3ge7,1nc3,100,100,False,-100.15439417979589,-42.82548085457931
3ge7,1y6r,9,23,True,-75.39486617735692,-39.92253585450919
3ge7,2wca,47,93,True,-86.19373104384515,-37.34382369264412
3ge7,2brb,72,72,False,-67.41204082343725,-36.73087418252664
3gnw,3qqs,59,59,False,-313.6953318620037,-336.58878771224533
3gnw,4gkm,47,47,False,-316.1910473431658,-278.4995991271576
3gnw,3twp,26,26,False,-240.1456143396213,-242.0047132278006
3gnw,4owm,13,13,False,-248.4155966648173,-226.4364494480305
3gnw,3zso,9,9,False,-201.97498900561465,-217.24803840355185
3gnw,3gnw,29,29,False,-210.6836095348051,-201.9016290287426
3gnw,3ge7,96,96,False,-223.023199023943,-187.84877369786744
3gnw,1a30,13,13,False,-152.6039954656028,-175.8784396003966
3gnw,3gc5,77,79,True,-154.67643362546116,-166.96743882997112
3gnw,3zsx,4,4,False,-169.0374757158273,-153.57661900342006
3gnw,3cj4,42,42,False,-134.8595574087461,-128.67376850917185
3gnw,3r88,12,12,False,-129.24619140956727,-126.84372445656189
3gnw,4cig,27,27,False,-114.56191139223316,-98.292889234578
3gnw,3rr4,5,58,True,-91.3513966460989,-96.8104681226759
3gnw,3zt2,47,94,True,-33.6308027100151,-88.08466509451914
3gnw,4ih7,43,43,False,-54.54399783186243,-83.69334500636346
3gnw,1r5y,57,48,True,-121.32986169409388,-79.57980691076993
3gnw,4eo8,11,15,True,-84.50961011820866,-75.20918390938941
3gnw,4ih5,31,31,False,-73.02024351732899,-73.66660439718261
3gnw,1s38,1,36,True,-52.8674370050418,-62.68769305063413
3myg,4jia,92,92,False,-234.15110642212596,-187.27801937562916
3myg,4f09,96,96,False,-171.27791022946366,-170.9177372732641
3myg,4e6q,79,79,False,-171.47231486773967,-154.00017872470863
3myg,3cj4,82,91,True,-154.73808270295868,-144.55654241230437
3myg,4qd6,6,6,False,-136.2850666795923,-141.17164477601844
3myg,2wtv,23,92,True,-113.92701427048114,-120.49663451512345
3myg,4gfm,94,77,True,-117.08230694098728,-115.77307552212496
3myg,4eo8,67,67,False,-115.20262297757388,-104.7712314628665
3myg,3e5a,82,82,False,-112.56778037109144,-100.48544251027754
3myg,3up2,50,50,False,-107.38917609220906,-98.91853646207372
3myg,4rfm,86,4,True,-80.35670346700326,-95.73859975702712
3myg,4m0z,54,54,False,-89.14087082789443,-95.15044204533416
3myg,3qgy,21,25,True,-91.79843245313316,-89.73940406342574
3myg,3uo4,41,100,True,-79.35704970239671,-86.23415262517688
3myg,4ih5,79,79,False,-101.51885946260074,-79.80353646421067
3myg,4ih7,80,52,True,-78.42894579309348,-74.5568115280556
3myg,4m0y,77,80,True,-91.68900587387316,-71.0332396902824
3myg,3myg,58,94,True,-78.41082556497739,-61.17601365733804
3myg,4hge,14,14,False,-62.12351065692407,-59.68548566036575
3myg,3pyy,89,89,False,-79.81530095032043,-47.45697698264008
3qqs,2hb1,18,18,False,-228.8993421387837,-239.4222554445442
3qqs,4gkm,69,7,True,-251.58445474262223,-236.19818439478183
3qqs,2qbr,31,31,False,-206.042373833278,-210.82808309035883
3qqs,3gv9,19,16,True,-181.35444813670404,-200.69301071412505
3qqs,4ciw,22,35,True,-187.5803262208728,-193.81683205000533
3qqs,3n7a,33,33,False,-175.3593945544046,-174.2822064837263
3qqs,3qqs,60,60,False,-155.32149211287157,-173.49432202701658
3qqs,4jxs,74,74,False,-180.8906720966702,-171.82494548975805
3qqs,4owm,83,26,True,-148.51298015826782,-149.90431930973085
3qqs,2r9w,76,76,False,-138.3753292060692,-146.4133564930343
3qqs,3twp,27,27,False,-135.86310817847703,-136.7212513542437
3qqs,4kz6,64,64,False,-140.4045972649922,-130.76727140664033
3qqs,3r88,12,12,False,-108.69975863514873,-120.37396599933876
3qqs,2qbp,41,41,False,-102.91686019262248,-102.78766808568488
3qqs,3n86,27,23,True,-102.63209917136489,-91.83554640985338
3qqs,3n76,53,53,False,-58.49255286432997,-84.55366457070582
3qqs,2qbq,1,1,False,-74.9686882652908,-77.75259194096468
3qqs,2xb8,8,8,False,-83.557578829299,-75.74887362582355
3qqs,1bzc,37,38,True,-47.02125787746744,-63.77705928922452
3qqs,3gr2,9,9,False,-54.21510086469231,-44.05247906803866
4gid,4mme,31,31,False,-293.0602854426008,-269.9178343401107
4gid,3f3d,35,35,False,-200.57882459014337,-203.97626434281784
4gid,1h22,30,30,False,-274.3635901612256,-180.72904941417477
4gid,2vkm,1,3,True,-132.76739947167863,-173.23592758523066
4gid,4gid,93,93,False,-169.88584333952315,-159.6298764580007
4gid,1gpn,12,12,False,-167.566496759629,-152.41806919466103
4gid,4djv,36,36,False,-204.52985680345745,-148.3023910635142
4gid,3uri,7,7,False,-183.72285229044311,-147.47486245113458
4gid,3f3e,64,23,True,-161.42299994697458,-140.98779301190817
4gid,1h23,67,67,False,-227.6342719403465,-137.57735072180213
4gid,3f3c,48,48,False,-152.32997338531862,-137.1412914218811
4gid,3pww,12,12,False,-156.1229964096842,-134.34045511934045
4gid,3f3a,24,24,False,-113.74164813207832,-130.44717320320703
4gid,3prs,12,17,True,-112.528283036675,-111.79577643886364
4gid,1gpk,62,21,True,-163.43727481879915,-106.82787408348536
4gid,3rsx,80,80,False,-160.65240038557985,-105.3695946542542
4gid,3udh,19,26,True,-132.3700475864626,-96.16955205638716
4gid,1e66,85,85,False,-135.31956116225265,-95.26046453506358
4gid,3wz8,51,15,True,-52.20304011749683,-85.88488050138031
4gid,2v00,43,81,True,-67.12197680686243,-72.75183732194877
4ivc,1k1i,2,78,True,-224.73262616984005,-198.34509352452392
4ivc,4hge,73,73,False,-201.55354628122004,-184.5435800629311
4ivc,4jia,100,51,True,-161.19255034365014,-162.4541211152276
4ivc,1nc1,31,47,True,-161.16210341984305,-160.09039726450405
4ivc,3gy4,45,45,False,-161.12466367180463,-156.52921007264266
4ivc,1o3f,32,32,False,-183.65829640062017,-147.87705775681945
4ivc,1y6r,3,98,True,-125.75064835357917,-139.45156167939615
4ivc,4f2w,54,54,False,-149.86328112619896,-135.83472172787503
4ivc,4gfm,28,28,False,-131.32276756036822,-131.50908488700068
4ivc,4f09,85,85,False,-149.58830203528876,-124.14455383104328
4ivc,4e6q,79,79,False,-124.60486919500802,-121.43742030291013
4ivc,4ivc,37,37,False,-113.90491482300992,-112.2081826709633
4ivc,4k77,7,7,False,-112.95151941588246,-112.12329051909848
4ivc,4f3c,13,96,True,-87.39767112493901,-111.2176488899136
4ivc,4ivd,34,60,True,-102.9549301857941,-107.26953002366348
4ivc,4e5w,57,57,False,-106.04252935362634,-105.05242681498396
4ivc,3pyy,23,24,True,-111.7830734578216,-101.01537024806792
4ivc,1nc3,19,59,True,-144.29159522518484,-96.0819441823547
4ivc,4ivb,31,31,False,-85.91359339880458,-87.83031783209393
4ivc,1uto,67,43,True,-89.28897560299664,-80.60920477825067
4jia,4jia,27,30,True,-205.9645955311952,-198.47585223747888
4jia,1nc1,57,57,False,-187.7803299729302,-187.01512880075492
4jia,1nc3,34,34,False,-156.02727505510393,-167.8376443560575
4jia,4gfm,87,87,False,-145.20069616146006,-149.62485829381598
4jia,4ivd,47,47,False,-157.01830436653566,-146.9612543066846
4jia,4f09,78,78,False,-150.4408821846887,-135.39562509695085
4jia,4eor,3,3,False,-114.29075891704552,-135.1877151626986
4jia,4qd6,95,95,False,-114.98598658344282,-134.4180172664034
4jia,4e5w,93,46,True,-144.35051832315727,-129.29400325350204
4jia,1y6r,46,46,False,-133.88270590591603,-126.77877341468256
4jia,4hge,26,74,True,-101.10519895349218,-126.2882121682136
4jia,2xnb,92,16,True,-127.08912327229594,-122.84516359544986
4jia,4m0y,81,81,False,-120.35844190372364,-117.92079592317512
4jia,4ivb,47,26,True,-130.9455241386398,-110.5306459641686
4jia,4ivc,22,22,False,-128.17913556731327,-107.69562060758544
4jia,4e6q,85,30,True,-107.93471007113628,-103.41765129253125
4jia,4k77,46,91,True,-100.35391681794697,-94.66518781839945
4jia,4m0z,99,98,True,-60.5879209025888,-78.14228641867084
4jia,3qgy,98,98,False,-81.75043702173534,-74.49508444645302
4jia,4rfm,97,97,False,-65.08855148047039,-63.8020105610919
