target,pocket,pocket_atoms,unsupported_atomic_numbers,n_actives,actives,ef1,actives_top20,active_ranks
2x00,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2x00/2x00_pocket.pdb,582,,6,"2x00,2wn9,2xys,2wnc,2ymd,3wtj",47.5,6,"2x00:3,2wn9:5,2xys:4,2wnc:1,2ymd:2,3wtj:7"
3u8n,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3u8n/3u8n_pocket.pdb,469,,6,"3u8n,4qac,3u8k,3zdg,3wtj,2wn9",47.5,6,"3u8n:3,4qac:5,3u8k:4,3zdg:1,3wtj:2,2wn9:10"
3nw9,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3nw9/3nw9_pocket.pdb,565,12,5,"3nw9,3oe4,3oe5,3ozs,3ozt",57.0,5,"3nw9:1,3oe4:5,3oe5:3,3ozs:4,3ozt:2"
3zso,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3zso/3zso_pocket.pdb,368,11,8,"3pww,3prs,1g2k,3zso,4cig,3zsx,3zt2,3ao4",35.625,4,"3pww:174,3prs:175,1g2k:79,3zso:1,4cig:4,3zsx:2,3zt2:3,3ao4:58"
2xb8,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/2xb8/2xb8_pocket.pdb,561,,5,"2xb8,3n76,3n86,4ciw,3n7a",57.0,5,"2xb8:4,3n76:1,3n86:2,4ciw:3,3n7a:5"
4w9h,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4w9h/4w9h_pocket.pdb,413,,5,"4w9h,4w9i,4w9l,4w9c,4bkt",57.0,5,"4w9h:1,4w9i:5,4w9l:4,4w9c:3,4bkt:2"
3uex,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3uex/3uex_pocket.pdb,553,,5,"3uex,3uew,3uev,3ueu,3nq9",57.0,5,"3uex:5,3uew:1,3uev:4,3ueu:2,3nq9:3"
4gr0,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4gr0/4gr0_pocket.pdb,555,"20,30",5,"4gr0,3nx7,3tsk,3ehy,3lka",57.0,5,"4gr0:4,3nx7:2,3tsk:1,3ehy:3,3lka:5"
3p5o,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3p5o/3p5o_pocket.pdb,407,,5,"3p5o,4ogj,4wiv,3u5j,4lzs",57.0,5,"3p5o:4,4ogj:5,4wiv:1,3u5j:3,4lzs:2"
1u1b,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/1u1b/1u1b_pocket.pdb,484,,5,"1u1b,1o0h,1w4o,3d6q,3dxg",57.0,5,"1u1b:2,1o0h:5,1w4o:3,3d6q:4,3dxg:1"
3o9i,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3o9i/3o9i_pocket.pdb,563,,7,"3o9i,1eby,1g2k,2qnq,1a30,3prs,3pww",40.714285714285715,7,"3o9i:1,1eby:4,1g2k:3,2qnq:2,1a30:11,3prs:13,3pww:12"
5c2h,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/5c2h/5c2h_pocket.pdb,577,"12,30",5,"5c2h,3ui7,3uuo,5c28,4llx",57.0,5,"5c2h:4,3ui7:2,3uuo:1,5c28:3,4llx:5"
3uri,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/3uri/3uri_pocket.pdb,650,,5,"3uri,3prs,3pww,3wz8,2v00",57.0,5,"3uri:4,3prs:2,3pww:1,3wz8:5,2v00:3"
4rfm,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4rfm/4rfm_pocket.pdb,487,,8,"4rfm,4qd6,3qgy,4m0y,4m0z,4twp,4ogj,3e5a",35.625,6,"4rfm:3,4qd6:5,3qgy:2,4m0y:1,4m0z:4,4twp:204,4ogj:85,3e5a:10"
4ty7,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4ty7/4ty7_pocket.pdb,579,,5,"4ty7,4crc,4x6p,4cra,4cr9",57.0,5,"4ty7:1,4crc:3,4x6p:2,4cra:4,4cr9:5"
4agq,/data/user_data/xianyang/casf-2016/extracted/CASF-2016/coreset/4agq/4agq_pocket.pdb,321,,5,"4agq,4agp,4agn,5a7b,5aba",57.0,5,"4agq:2,4agp:5,4agn:4,5a7b:3,5aba:1"
